Gene	VIC-019-CL	VIC-025-CL	VIC-017-CL	VIC-041-CL	VIC-034-CL	VIC-020-CL	VIC-026-CL
TRIM24	43.76122493587005	23.00437228012953	19.35755137724848	12.496820351007573	11.200438750514207	23.11859056325517	12.055187066765091
TRIM25	24.75333998952676	25.32635904925754	9.584995669305352	22.927890682674107	16.796244868664406	27.737009080676398	23.871268572890788
TRIM26	64.99488528984155	26.85751305080334	34.26084845510378	45.20521280721679	38.38537257560522	59.7143240609615	40.23414983367898
TRIM27	39.37529772595741	17.36344574171595	30.367973763125534	21.65722212098462	25.30848732864241	33.07425319448025	41.84857643547275
TRIM28	181.2700549731789	93.63667973083182	128.9586773243975	52.529576217551934	46.996794207366285	108.59558329939988	95.4744086152992
TRIM29	1.0165463815912177	131.1851693052435	1.9627002943326275	6.0676308036070665	3.2478594167061114	24.497266275087004	0.4728380505958335
TRIM3	6.2347235712201705	5.570181266181524	5.087835955821738	4.435736050592723	4.8005050007894505	8.759179932086468	3.9382807091807055
TRIM32	6.9152422807904745	3.493538480279156	4.305324905569111	4.096233295730412	2.101415680189792	7.093953085805622	6.650170658279147
TRIM33	16.358045308145496	19.53480130468238	11.820959818003152	17.631528301159378	9.408648358827914	26.138194244119177	11.903407743101024
TRIM34	2.576591811197037	5.793515225900936	4.859125115137539	5.142002514208327	7.590270099926928	12.504064691352404	4.221498696796444
TRIM35	7.975511349845822	7.494521657019511	9.202723841637058	13.565883690959025	12.05098647393918	13.22500585195983	7.153720186155634
TRIM36	1.5690893664993228	3.798236401678038	3.2094823914531063	4.467920083927836	10.724791790529476	5.2487360167989605	2.919206124111718
TRIM37	45.87565782288928	11.797446759424306	9.640678583935458	10.876429011313665	4.347242233728655	17.534872532594246	10.179208019126364
TRIM38	18.35640359438469	13.333431478493829	10.010296714655595	15.700642570208531	11.836350369754818	25.618725122253565	11.872409777655404
TRIM39	6.869031221513067	13.752090565112756	5.064603197034618	31.54613068037728	7.194348958348432	35.442024157147976	9.953079481303316
TRIM39-RPP21	0.1086538815640679	0.1609201419266194	0.0	0.2746189999778218	0.0842370459618335	0.0	0.0
TRIM4	30.724381199391136	20.399939064549933	18.78313879531262	27.80140475609521	11.019050378240648	31.610822812309035	15.698997904897269
TRIM40	0.0	0.0	0.4922136835588657	0.1924526778378641	0.037935417808974	0.063468947117563	0.0
TRIM41	18.760001627965323	9.127480173433357	15.704748649972537	11.633998361553786	6.979555327985331	11.13872733027124	13.251873243409444
TRIM42	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM43	0.0103431404882404	0.0	0.2591012856303403	0.0	0.0368806888612362	0.0616965744225635	0.0485666293978723
TRIM44	10.774601708128898	15.76205355191506	12.80733153864004	16.996214044646667	9.800076633380048	21.438494544727654	16.433592982363045
TRIM45	1.5718472937317356	1.2386545159294249	0.9821217119851848	1.0730321758196109	1.2457406651703344	5.051767274135669	0.7736071510509894
TRIM46	0.5112934303392461	0.8565282092469458	1.6397394912340153	1.1944014205326945	0.0605845873264584	1.932827265382816	2.7337243814347363
TRIM47	19.029367771110344	8.053492091003992	14.058760662379242	4.798585016647186	14.735128934545536	6.095583554385238	3.914708214551765
TRIM48	0.1395910419885029	0.0	0.0479004466724857	0.0	0.0	0.0	0.0
TRIM49	0.1017893256324615	0.0	0.2191010046810072	0.0142070500270128	0.0	0.0	0.0
TRIM49B	0.0	0.0	0.0871982720817011	0.0	0.0	0.0	0.0
TRIM49C	0.0	0.0	0.0953623250140336	0.0142070500270128	0.0	0.0	0.0
